epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,23974.4,0.80429,0.50329,0.88944,0.89536,0.84087,0.90832,0.66646,0.75268,0.45956,0.88938,2.21964e-05,2.21964e-05,2.21964e-05
40,26874,0.80695,0.50339,0.8916,0.88495,0.8483,0.90702,0.66635,0.74619,0.45736,0.88756,2.03269e-05,2.03269e-05,2.03269e-05
41,27074.4,0.79762,0.48243,0.88527,0.90437,0.83711,0.89869,0.64348,0.79041,0.47639,0.89992,1.85942e-05,1.85942e-05,1.85942e-05
42,27816.1,0.77267,0.46886,0.87853,0.90429,0.83174,0.89836,0.6431,0.78083,0.47159,0.89621,1.70052e-05,1.70052e-05,1.70052e-05
43,28044.3,0.769,0.46699,0.87687,0.89319,0.84637,0.90339,0.65366,0.77439,0.46846,0.89391,1.55662e-05,1.55662e-05,1.55662e-05
44,28301.6,0.7677,0.46498,0.87641,0.91079,0.83408,0.90016,0.65159,0.77195,0.46904,0.89358,1.42828e-05,1.42828e-05,1.42828e-05
45,29413.7,0.76575,0.46417,0.87631,0.90262,0.83412,0.90122,0.65435,0.7692,0.46807,0.89237,1.31601e-05,1.31601e-05,1.31601e-05
46,29603.1,0.76065,0.46157,0.87617,0.90608,0.84236,0.9023,0.66425,0.76405,0.46547,0.89141,1.22025e-05,1.22025e-05,1.22025e-05
47,30884.7,0.75674,0.46142,0.87389,0.91438,0.83845,0.90593,0.66428,0.76247,0.46532,0.89124,1.14138e-05,1.14138e-05,1.14138e-05
48,31972.6,0.75877,0.45954,0.87628,0.90259,0.83631,0.90531,0.66619,0.76106,0.46285,0.89037,1.07971e-05,1.07971e-05,1.07971e-05
49,32183.1,0.75639,0.45987,0.87401,0.89857,0.84802,0.9066,0.66412,0.76294,0.46291,0.89065,1.03548e-05,1.03548e-05,1.03548e-05
50,33276.1,0.75546,0.45855,0.87408,0.91199,0.83922,0.90536,0.66242,0.76051,0.46205,0.89022,1.00888e-05,1.00888e-05,1.00888e-05
