epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1262.62,0.74186,0.48073,0.86002,0.9189,0.82749,0.89252,0.65426,0.76935,0.49332,0.89833,2.21964e-05,2.21964e-05,2.21964e-05
40,1294.99,0.7436,0.48209,0.85696,0.92211,0.82885,0.89435,0.65254,0.76928,0.49491,0.89848,2.03269e-05,2.03269e-05,2.03269e-05
41,1327.49,0.73353,0.46825,0.86048,0.91728,0.80996,0.89234,0.63977,0.8042,0.50993,0.91005,1.85942e-05,1.85942e-05,1.85942e-05
42,1358.1,0.70905,0.45656,0.85129,0.92104,0.81286,0.88774,0.64092,0.79369,0.50429,0.90563,1.70052e-05,1.70052e-05,1.70052e-05
43,1388.87,0.70591,0.45523,0.84997,0.9159,0.82082,0.89134,0.64423,0.79157,0.5047,0.90452,1.55662e-05,1.55662e-05,1.55662e-05
44,1419.55,0.69923,0.45007,0.84663,0.9114,0.81639,0.88617,0.64096,0.7879,0.50281,0.90376,1.42828e-05,1.42828e-05,1.42828e-05
45,1450.44,0.69697,0.45025,0.84835,0.91602,0.82065,0.89263,0.64676,0.78593,0.50279,0.90316,1.31601e-05,1.31601e-05,1.31601e-05
46,1481.18,0.69417,0.44833,0.84793,0.92773,0.81194,0.89208,0.64572,0.78395,0.5032,0.9025,1.22025e-05,1.22025e-05,1.22025e-05
47,1511.54,0.69319,0.44812,0.84764,0.92854,0.8158,0.89143,0.64551,0.78151,0.50099,0.90089,1.14138e-05,1.14138e-05,1.14138e-05
48,1542.55,0.69131,0.44707,0.84651,0.93242,0.80682,0.88543,0.64133,0.78034,0.49892,0.9013,1.07971e-05,1.07971e-05,1.07971e-05
49,1573.53,0.68902,0.44474,0.84542,0.91845,0.8238,0.89045,0.64944,0.78038,0.4998,0.90114,1.03548e-05,1.03548e-05,1.03548e-05
50,1604.16,0.69711,0.4552,0.84868,0.92521,0.82836,0.89198,0.64506,0.78011,0.50106,0.90092,1.00888e-05,1.00888e-05,1.00888e-05
