epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,828.48,0.92207,1.07451,1.22967,0.795,0.7409,0.80704,0.59523,0.93194,0.84271,1.18635,9.99517e-05,9.99517e-05,0.000148284
2,1604.54,0.85403,0.93913,1.18381,0.80114,0.75105,0.8111,0.59636,0.92884,0.83744,1.18849,9.99112e-05,9.99112e-05,9.99112e-05
3,2374.7,0.84937,0.92875,1.18014,0.80489,0.7479,0.81707,0.60198,0.92544,0.8357,1.18476,9.96452e-05,9.96452e-05,9.96452e-05
4,3139.24,0.8481,0.91811,1.17892,0.7938,0.75701,0.81752,0.60346,0.92657,0.82341,1.1889,9.92029e-05,9.92029e-05,9.92029e-05
5,3906.69,0.84316,0.90345,1.17509,0.81141,0.74722,0.8203,0.60696,0.92577,0.81751,1.18537,9.85862e-05,9.85862e-05,9.85862e-05
6,9741.86,0.84046,0.9072,1.17366,0.80515,0.74909,0.81681,0.60388,0.92656,0.82986,1.18477,9.77975e-05,9.77975e-05,9.77975e-05
