epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3659.9,0.77863,0.74248,1.12216,0.80794,0.75151,0.81617,0.60678,0.94596,0.79873,1.20994,2.21964e-05,2.21964e-05,2.21964e-05
40,3753.27,0.77636,0.73572,1.11751,0.82149,0.74309,0.81536,0.60501,0.94626,0.79985,1.21053,2.03269e-05,2.03269e-05,2.03269e-05
41,3846,0.71719,0.58872,1.07571,0.80047,0.7499,0.80985,0.5986,0.95384,0.8047,1.21703,1.85942e-05,1.85942e-05,1.85942e-05
42,3936.59,0.70364,0.56661,1.06772,0.79727,0.74896,0.80999,0.59918,0.95297,0.80604,1.2175,1.70052e-05,1.70052e-05,1.70052e-05
43,4027.43,0.70141,0.56023,1.06519,0.80828,0.74822,0.81037,0.59957,0.95078,0.80222,1.21721,1.55662e-05,1.55662e-05,1.55662e-05
44,4118.51,0.6998,0.55653,1.0672,0.82187,0.73751,0.81329,0.60213,0.95212,0.80151,1.21626,1.42828e-05,1.42828e-05,1.42828e-05
45,4209.19,0.69629,0.55253,1.06128,0.81558,0.74067,0.81237,0.6011,0.95043,0.80136,1.21668,1.31601e-05,1.31601e-05,1.31601e-05
46,4299.77,0.69237,0.5494,1.06251,0.81218,0.74507,0.81265,0.60131,0.94894,0.80049,1.21548,1.22025e-05,1.22025e-05,1.22025e-05
47,4390.54,0.69232,0.5482,1.05918,0.82348,0.73265,0.81191,0.60206,0.94771,0.79928,1.21446,1.14138e-05,1.14138e-05,1.14138e-05
48,4481.17,0.69288,0.54549,1.06195,0.8185,0.73594,0.81221,0.60135,0.95043,0.80035,1.21531,1.07971e-05,1.07971e-05,1.07971e-05
49,4571.73,0.68916,0.53689,1.05631,0.81532,0.74589,0.81392,0.6018,0.94989,0.79917,1.21529,1.03548e-05,1.03548e-05,1.03548e-05
50,4662.18,0.69214,0.54503,1.05831,0.81036,0.74826,0.81366,0.60307,0.94874,0.79915,1.2149,1.00888e-05,1.00888e-05,1.00888e-05
