key,label,median_ms,best_ms,ns_per_element,million_elements_per_second,checksum
exact_silu,Exact SiLU,1.49599998,1.31700002,1.49599998,668.449206,33.793129
taylor3,Taylor-3 exp,0.254000013,0.237,0.254000013,3937.00767,-0.635580897
range_poly,Range reduction + polynomial,1.92100002,1.605,1.92100002,520.562202,33.793148
fast_sigmoid,Fast sigmoid,0.158999988,0.146000006,0.158999988,6289.30864,30.2350178
hard_silu,Hard-SiLU,0.101000012,0.0890000374,0.101000012,9900.98889,33.8848
piecewise_linear,Piecewise linear,6.94400002,6.40000001,6.94400002,144.009216,33.9707184
lut_21,LUT (21 values),0.333999982,0.315000012,0.333999982,2994.01214,33.8686218
relu,ReLU,0.0729999738,0.0700000091,0.0729999738,13698.6351,35.7732582
